rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
498,Central Jersey College Prep Charter School,"Central Jersey College Prep Charter School is ranked 26th within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Central Jersey College Prep Charter School is 76%. The total minority enrollment is 90%, and 27% of students are economically disadvantaged. Central Jersey College Prep Charter School is the only high school in the Central Jersey College Prep Charter School.",Somerset,NJ,95.3,69.048,352,61.0,13.0,69.0,68.48845109
499,Farmington High School,"Farmington High School is ranked eighth within Connecticut. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Farmington High School is 69%. The total minority enrollment is 45%, and 16% of students are economically disadvantaged. Farmington High School is the only high school in the Farmington School District.",Farmington,CT,98.2,59.421,1263,,11.0,,71.40400742
500,Providence High School,"Providence High School is ranked 12th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Providence High School is 71%. The total minority enrollment is 36%, and 11% of students are economically disadvantaged. Providence High School is 1 of 35 high schools in the Charlotte-Mecklenburg Schools.",Charlotte,NC,95.0,62.293,2048,76.0,22.0,91.0,65.86994436
501,DSST: Byers High School,"DSST: Byers High School is ranked 11th within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at DSST: Byers High School is 71%. The total minority enrollment is 62%, and 47% of students are economically disadvantaged. DSST: Byers High School is 1 of 53 high schools in the Denver Public Schools.",Denver,CO,95.90164,61.157,558,60.0,14.0,80.0,71.470259
502,San Marino High School,"San Marino High School is ranked 68th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at San Marino High School is 70%. The total minority enrollment is 77%, and 9% of students are economically disadvantaged. San Marino High School is the only high school in the San Marino Unified School District.",San Marino,CA,96.7,63.941,806,68.0,19.0,79.0,84.33644013
503,Peters Township High School,"Peters Township High School is ranked 11th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Peters Township High School is 75%. The total minority enrollment is 9%, and 11% of students are economically disadvantaged. Peters Township High School is the only high school in the Peters Township School District.",Mcmurray,PA,98.61111,66.25,1226,87.0,14.0,86.0,76.13376774
504,Westford Academy,Westford Academy is ranked 19th within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Westford,MA,97.7,59.262,1523,80.0,13.0,85.0,83.79279274
505,Ardrey Kell High School,"Ardrey Kell High School is ranked 13th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Ardrey Kell High School is 78%. The total minority enrollment is 55%, and 10% of students are economically disadvantaged. Ardrey Kell High School is 1 of 35 high schools in the Charlotte-Mecklenburg Schools.",Charlotte,NC,95.0,66.79,3529,58.0,21.0,87.0,68.88996232
506,South Texas Academy for Medical Professions,"South Texas Academy for Medical Professions is ranked 65th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at South Texas Academy for Medical Professions is 100%. The total minority enrollment is 97%, and 73% of students are economically disadvantaged. South Texas Academy for Medical Professions is 1 of 4 high schools in the South Texas Independent School District.",Olmito,TX,98.9,74.18,858,41.0,15.0,72.0,21.43839903
507,Prospect High School,Prospect High School is ranked 22nd within Illinois. Students have the opportunity to take Advanced Placement&#174,Mt Prospect,IL,97.1,54.188,2263,54.0,19.0,56.0,63.48507804
508,Skyline High School,"Skyline High School is ranked second within Utah. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Skyline High School is 69%. The total minority enrollment is 20%, and 8% of students are economically disadvantaged. Skyline High School is 1 of 11 high schools in the Granite District.",Salt Lake City,UT,95.9,59.796,2122,51.0,27.0,70.0,67.05104591
509,Wakeland High School,"Wakeland High School is ranked 66th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Wakeland High School is 70%. The total minority enrollment is 37%, and 6% of students are economically disadvantaged. Wakeland High School is 1 of 10 high schools in the Frisco Independent School District.",Frisco,TX,98.1,57.337,2147,63.0,16.0,93.0,69.81403711
510,Columbus Alternative High School,Columbus Alternative High School is ranked 16th within Ohio. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Columbus Alternative High School is 100%. The total minority enrollment is 72%. Columbus Alternative High School is 1 of 20 high schools in the Columbus City School District.,Columbus,OH,95.0,72.826,758,30.0,18.0,67.0,44.81468771
511,International School of America,"International School of America is ranked 67th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at International School of America is 89%. The total minority enrollment is 66%, and 21% of students are economically disadvantaged. International School of America is 1 of 10 high schools in the North East Independent School District.",San Antonio,TX,100.0,62.162,485,40.0,11.0,92.0,46.49621212
512,KIPP Houston High School,"KIPP Houston High School is ranked 68th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at KIPP Houston High School is 100%. The total minority enrollment is 99%, and 87% of students are economically disadvantaged. KIPP Houston High School is 1 of 9 high schools in the KIPP Texas Public Schools.",Houston,TX,97.8,65.649,685,56.0,16.0,71.0,28.83033159
513,Pine-Richland High School,"Pine-Richland High School is ranked 12th within Pennsylvania. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Pine-Richland High School is 64%. The total minority enrollment is 12%, and 7% of students are economically disadvantaged. Pine-Richland High School is the only high school in the Pine-Richland School District.",Gibsonia,PA,97.79614,51.253,1413,95.0,13.0,68.0,73.5275495
514,South Texas High School for Health Professions,"South Texas High School for Health Professions is ranked 69th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at South Texas High School for Health Professions is 100%. The total minority enrollment is 96%, and 61% of students are economically disadvantaged. South Texas High School for Health Professions is 1 of 4 high schools in the South Texas Independent School District.",Mercedes,TX,100.0,67.347,755,44.0,14.0,87.0,29.04318249
515,Chapel Hill High School,"Chapel Hill High School is ranked 14th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Chapel Hill High School is 73%. The total minority enrollment is 47%, and 25% of students are economically disadvantaged. Chapel Hill High School is 1 of 5 high schools in the Chapel Hill-Carrboro City Schools.",Chapel Hill,NC,95.0,66.512,1597,46.0,16.0,85.0,72.4904269
516,West Career and Technical Academy,"West Career and Technical Academy is ranked second within Nevada. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at West Career and Technical Academy is 78%. The total minority enrollment is 61%, and 100% of students are economically disadvantaged. West Career and Technical Academy is 1 of 73 high schools in the Clark County School District.",Las Vegas,NV,95.0,61.97,1493,58.0,25.0,90.0,60.4308195
517,Lafayette Sr. High School,"Lafayette Sr. High School is ranked fifth within Missouri. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Lafayette Sr. High School is 55%. The total minority enrollment is 28%, and 10% of students are economically disadvantaged. Lafayette Sr. High School is 1 of 4 high schools in the Rockwood R-Vi.",Wildwood,MO,96.51,47.575,1682,68.0,16.0,69.0,75.49155396
518,Lake Norman Charter,Lake Norman Charter is ranked 15th within North Carolina. Students have the opportunity to take Advanced Placement&#174,Huntersville,NC,95.0,68.716,804,71.0,18.0,93.0,71.07360637
519,Alliance Ted K. Tajima High School,"Alliance Ted K. Tajima High School is ranked 69th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Alliance Ted K. Tajima High School is 80%. The total minority enrollment is 100%, and 97% of students are economically disadvantaged. Alliance Ted K. Tajima High School is the only high school in the Alliance Ted K. Tajima High District.",Los Angeles,CA,99.1,63.288,477,27.0,22.0,75.0,23.24347394
520,Middle College High School,Middle College High School is ranked 70th within California. Students have the opportunity to take Advanced Placement&#174,Los Angeles,CA,100.0,52.446,365,57.0,21.0,79.0,14.82142857
521,Academy of Art Careers and Technology,"Academy of Art Careers and Technology is ranked third within Nevada. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Academy of Art Careers and Technology is 83%. The total minority enrollment is 45%, and 19% of students are economically disadvantaged. Academy of Art Careers and Technology is 1 of 22 high schools in the Washoe County School District.",Reno,NV,95.0,66.346,530,55.0,18.0,89.0,45.84935897
522,John P. Stevens High School,"John P. Stevens High School is ranked 27th within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at John P. Stevens High School is 65%. The total minority enrollment is 93%, and 10% of students are economically disadvantaged. John P. Stevens High School is 1 of 2 high schools in the Edison Township School District.",Edison,NJ,97.6,60.594,2638,69.0,16.0,87.0,73.13650965
523,Green Hope High School,"Green Hope High School is ranked 16th within North Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Green Hope High School is 76%. The total minority enrollment is 51%, and 8% of students are economically disadvantaged. Green Hope High School is 1 of 34 high schools in the Wake County Schools.",Cary,NC,95.0,65.619,2001,51.0,20.0,90.0,75.20506288
524,Scripps Ranch High School,"Scripps Ranch High School is ranked 71st within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Scripps Ranch High School is 63%. The total minority enrollment is 63%, and 20% of students are economically disadvantaged. Scripps Ranch High School is 1 of 33 high schools in the San Diego Unified School District.",San Diego,CA,99.4,60.021,1984,70.0,28.0,80.0,78.94687655
525,Stockton Collegiate International Secondary,"Stockton Collegiate International Secondary is ranked 72nd within California. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Stockton Collegiate International Secondary is 83%. The total minority enrollment is 91%, and 32% of students are economically disadvantaged. Stockton Collegiate International Secondary is the only high school in the Stockton Collegiate International Secondary District.",Stockton,CA,91.7,78.571,223,22.0,19.0,84.0,
526,North Houston Early College High School,"North Houston Early College High School is ranked 70th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at North Houston Early College High School is 100%. The total minority enrollment is 99%, and 90% of students are economically disadvantaged. North Houston Early College High School is 1 of 49 high schools in the Houston Independent School District.",Houston,TX,100.0,58.523,475,69.0,21.0,83.0,24.41601162
527,Middleton High School,"Middleton High School is ranked ninth within Wisconsin. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Middleton High School is 59%. The total minority enrollment is 32%, and 18% of students are economically disadvantaged. Middleton High School is 1 of 2 high schools in the Middleton-Cross Plains Area School District.",Middleton,WI,97.1,48.435,2309,52.0,15.0,63.0,61.26517878
528,Sycamore High School,"Sycamore High School is ranked 17th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Sycamore High School is 57%. The total minority enrollment is 40%, and 15% of students are economically disadvantaged. Sycamore High School is the only high school in the Sycamore Community City.",Cincinnati,OH,95.0,52.471,1637,75.0,14.0,86.0,76.65973154
529,Plainview Old Bethpage JFK High School,"Plainview Old Bethpage JFK High School is ranked 62nd within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Plainview Old Bethpage JFK High School is 74%. The total minority enrollment is 38%, and 13% of students are economically disadvantaged. Plainview Old Bethpage JFK High School is the only high school in the Plainview-Old Bethpage Central School District.",Plainview,NY,99.0,70.104,1638,88.0,11.0,97.0,72.08681504
530,William Mason High School,"William Mason High School is ranked 18th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at William Mason High School is 64%. The total minority enrollment is 44%, and 8% of students are economically disadvantaged. William Mason High School is the only high school in the Mason City.",Mason,OH,95.0,55.418,3414,74.0,24.0,86.0,78.76047579
531,Victory Early College High School,"Victory Early College High School is ranked 71st within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Victory Early College High School is 95%. The total minority enrollment is 97%, and 85% of students are economically disadvantaged. Victory Early College High School is 1 of 10 high schools in the Aldine Independent School District.",Houston,TX,100.0,67.157,405,41.0,26.0,78.0,
532,Half Hollow Hills High School West,"Half Hollow Hills High School West is ranked 63rd within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Half Hollow Hills High School West is 71%. The total minority enrollment is 53%, and 25% of students are economically disadvantaged. Half Hollow Hills High School West is 1 of 2 high schools in the Half Hollow Hills Central School District.",Dix Hills,NY,97.0,64.94,1014,89.0,10.0,93.0,76.14326689
533,Scarsdale Senior High School,Scarsdale Senior High School is ranked 64th within New York. Students have the opportunity to take Advanced Placement&#174,Scarsdale,NY,100.0,46.008,1458,95.0,10.0,99.0,86.24882631
534,Aspen High School,Aspen High School is ranked 12th within Colorado. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Aspen High School is 98%. The total minority enrollment is 16%. Aspen High School is the only high school in the Aspen School District No. 1 In The County of Pitkin and Sta.,Aspen,CO,97.1831,85.472,529,50.0,11.0,83.0,
535,Grandview Heights High School,"Grandview Heights High School is ranked 19th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Grandview Heights High School is 76%. The total minority enrollment is 10%, and 7% of students are economically disadvantaged. Grandview Heights High School is the only high school in the Grandview Heights Schools.",Columbus,OH,95.0,58.861,344,66.0,13.0,,63.58974359
536,Research Triangle High School,Research Triangle High School is ranked 17th within North Carolina. Students have the opportunity to take Advanced Placement&#174,Durham,NC,82.6,77.5,582,33.0,15.0,90.0,57.4537037
537,Maine South High School,Maine South High School is ranked 23rd within Illinois. Students have the opportunity to take Advanced Placement&#174,Park Ridge,IL,96.6,55.278,2495,56.0,17.0,57.0,66.6369108
538,Skaneateles Senior High School,"Skaneateles Senior High School is ranked 65th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Skaneateles Senior High School is 71%. The total minority enrollment is 6%, and 12% of students are economically disadvantaged. Skaneateles Senior High School is the only high school in the Skaneateles Central School District.",Skaneateles,NY,95.0,64.387,428,94.0,10.0,95.0,80.2117728
539,Concord Carlisle High School,Concord Carlisle High School is ranked 20th within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Concord,MA,99.1,57.669,1303,80.0,12.0,86.0,90.15273547
540,Triangle Math and Science Academy,Triangle Math and Science Academy is ranked 18th within North Carolina. Students have the opportunity to take Advanced Placement&#174,Cary,NC,95.0,61.154,336,66.0,30.0,96.0,74.296875
541,Glenbard West High School,Glenbard West High School is ranked 24th within Illinois. Students have the opportunity to take Advanced Placement&#174,Glen Ellyn,IL,96.0,60.372,2324,50.0,18.0,49.0,69.18908651
542,Palmetto Scholars Academy,"Palmetto Scholars Academy is ranked fourth within South Carolina. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Palmetto Scholars Academy is 64%. The total minority enrollment is 45%, and 14% of students are economically disadvantaged. Palmetto Scholars Academy is 1 of 17 high schools in the Sc Public Charter School District.",North Charleston,SC,98.61111111,57.246,282,,15.0,97.0,
543,Northwest Early College High School (NWECHS),"Northwest Early College High School (NWECHS) is ranked 72nd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Northwest Early College High School (NWECHS) is 100%. The total minority enrollment is 93%, and 59% of students are economically disadvantaged. Northwest Early College High School (NWECHS) is 1 of 2 high schools in the Canutillo Independent School District.",El Paso,TX,99.0,58.594,361,68.0,17.0,84.0,26.81279435
544,Albany High School,"Albany High School is ranked 73rd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Albany High School is 63%. The total minority enrollment is 69%, and 26% of students are economically disadvantaged. Albany High School is 1 of 2 high schools in the Albany City Unified School District.",Albany,CA,91.6,56.743,1151,72.0,18.0,80.0,77.11327125
545,Passaic Academy for Science and Engineering,"Passaic Academy for Science and Engineering is ranked 28th within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Passaic Academy for Science and Engineering is 100%. The total minority enrollment is 99%, and 100% of students are economically disadvantaged. Passaic Academy for Science and Engineering is 1 of 3 high schools in the Passaic City School District.",Passaic,NJ,100.0,79.897,508,22.0,13.0,66.0,33.87394646
546,Staples High School,"Staples High School is ranked ninth within Connecticut. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Staples High School is 64%. The total minority enrollment is 21%, and 2% of students are economically disadvantaged. Staples High School is the only high school in the Westport School District.",Westport,CT,97.6,57.671,1686,,10.0,,79.95508723
547,Kirkwood Sr. High School,"Kirkwood Sr. High School is ranked sixth within Missouri. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Kirkwood Sr. High School is 57%. The total minority enrollment is 24%, and 11% of students are economically disadvantaged. Kirkwood Sr. High School is the only high school in the Kirkwood R-VII.",Kirkwood,MO,97.12,49.017,1775,71.0,15.0,72.0,70.46746673
548,East Greenwich High School,"East Greenwich High School is ranked third within Rhode Island. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at East Greenwich High School is 58%. The total minority enrollment is 21%, and 6% of students are economically disadvantaged. East Greenwich High School is the only high school in the East Greenwich.",East Greenwich,RI,96.55,50.837,737,63.0,13.0,85.0,73.34365837
549,Summit Senior High School,"Summit Senior High School is ranked 29th within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Summit Senior High School is 67%. The total minority enrollment is 40%, and 14% of students are economically disadvantaged. Summit Senior High School is the only high school in the Summit Public School District.",Summit,NJ,95.3,59.947,1132,93.0,11.0,79.0,79.93184697
550,Dr. Wright L Lassiter Junior Early College High School,"Dr. Wright L Lassiter Junior Early College High School is ranked 73rd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Dr. Wright L Lassiter Junior Early College High School is 100%. The total minority enrollment is 98%, and 80% of students are economically disadvantaged. Dr. Wright L Lassiter Junior Early College High School is 1 of 39 high schools in the Dallas Independent School District.",Dallas,TX,100.0,47.5,265,91.0,19.0,96.0,
551,Western Sierra Collegiate Academy,"Western Sierra Collegiate Academy is ranked 74th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Western Sierra Collegiate Academy is 87%. The total minority enrollment is 55%, and 14% of students are economically disadvantaged. Western Sierra Collegiate Academy is the only high school in the Western Sierra Collegiate Academy District.",Rocklin,CA,99.4,71.519,536,53.0,21.0,82.0,39.36514273
552,LSU Laboratory School,LSU Laboratory School is ranked seventh within Louisiana. Students have the opportunity to take Advanced Placement&#174,Baton Rouge,LA,95.0,56.294,469,72.0,12.0,80.0,
553,Beaverton Academy of Science and Engineering,"Beaverton Academy of Science and Engineering is ranked third within Oregon. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Beaverton Academy of Science and Engineering is 50%. The total minority enrollment is 59%, and 33% of students are economically disadvantaged. Beaverton Academy of Science and Engineering is 1 of 11 high schools in the Beaverton School District 48J.",Hillsboro,OR,100.0,45.755,442,60.0,21.0,74.0,76.69553671
554,Medgar Evers College Preparatory School,"Medgar Evers College Preparatory School is ranked 66th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Medgar Evers College Preparatory School is 89%. The total minority enrollment is 99%, and 92% of students are economically disadvantaged. Medgar Evers College Preparatory School is 1 of 533 high schools in the New York City Public Schools.",Brooklyn,NY,96.0,74.424,880,58.0,18.0,92.0,48.83252735
555,Westwood High School,"Westwood High School is ranked 74th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Westwood High School is 74%. The total minority enrollment is 65%, and 11% of students are economically disadvantaged. Westwood High School is 1 of 7 high schools in the Round Rock Independent School District.",Austin,TX,99.2,68.347,2820,34.0,17.0,84.0,71.15078695
556,Montgomery High School,"Montgomery High School is ranked 30th within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Montgomery High School is 64%. The total minority enrollment is 66%, and 4% of students are economically disadvantaged. Montgomery High School is the only high school in the Montgomery Township School District.",Skillman,NJ,91.8,59.718,1575,75.0,13.0,82.0,82.40816301
557,Granite Bay High School,"Granite Bay High School is ranked 75th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Granite Bay High School is 74%. The total minority enrollment is 43%, and 11% of students are economically disadvantaged. Granite Bay High School is 1 of 8 high schools in the Roseville Joint Union High.",Granite Bay,CA,95.6,63.423,1972,61.0,24.0,86.0,71.85981908
558,Norwell High School,Norwell High School is ranked 21st within Massachusetts. Students have the opportunity to take Advanced Placement&#174,Norwell,MA,99.4,64.11,602,88.0,12.0,84.0,59.08575596
559,Tompkins High School,"Tompkins High School is ranked 75th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Tompkins High School is 62%. The total minority enrollment is 69%, and 17% of students are economically disadvantaged. Tompkins High School is 1 of 8 high schools in the Katy Independent School District.",Katy,TX,97.4,58.067,2908,49.0,16.0,88.0,76.97542391
560,Clements High School,"Clements High School is ranked 76th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Clements High School is 66%. The total minority enrollment is 80%, and 22% of students are economically disadvantaged. Clements High School is 1 of 13 high schools in the Fort Bend Independent School District.",Sugar Land,TX,96.2,59.667,2560,70.0,19.0,84.0,75.35123161
561,Homestead High School,"Homestead High School is ranked 10th within Wisconsin. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Homestead High School is 67%. The total minority enrollment is 29%, and 12% of students are economically disadvantaged. Homestead High School is the only high school in the Mequon-Thiensville School District.",Mequon,WI,96.8,54.601,1265,55.0,17.0,66.0,63.82627056
562,West Springfield High School,"West Springfield High School is ranked 10th within Virginia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at West Springfield High School is 62%. The total minority enrollment is 52%, and 17% of students are economically disadvantaged. West Springfield High School is 1 of 30 high schools in the Fairfax County Public Schools.",Springfield,VA,96.31,50.81,2663,92.0,18.0,93.0,61.96157044
563,Monte Vista High School,"Monte Vista High School is ranked 76th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Monte Vista High School is 76%. The total minority enrollment is 53%, and 4% of students are economically disadvantaged. Monte Vista High School is 1 of 6 high schools in the San Ramon Valley Unified School District.",Danville,CA,98.5,67.032,2243,63.0,24.0,86.0,75.04371427
564,Conard High School,"Conard High School is ranked 10th within Connecticut. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Conard High School is 74%. The total minority enrollment is 46%, and 29% of students are economically disadvantaged. Conard High School is 1 of 2 high schools in the West Hartford School District.",West Hartford,CT,94.1,65.634,1418,,13.0,,71.97938013
565,Evergreen High School,"Evergreen High School is ranked 13th within Colorado. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Evergreen High School is 72%. The total minority enrollment is 13%, and 8% of students are economically disadvantaged. Evergreen High School is 1 of 36 high schools in the Jefferson County School District No. R-1.",Evergreen,CO,97.33333,60.444,954,71.0,20.0,89.0,63.71235572
566,Greely High School,"Greely High School is ranked first within Maine. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Greely High School is 50%. The total minority enrollment is 8%, and 3% of students are economically disadvantaged. Greely High School is the only high school in the Regional School District 51/Msad 51.",Cumberland,ME,96.18,44.654,599,95.0,9.0,89.0,48.98407336
567,North Gwinnett High School,"North Gwinnett High School is ranked 17th within Georgia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at North Gwinnett High School is 73%. The total minority enrollment is 59%, and 12% of students are economically disadvantaged. North Gwinnett High School is 1 of 27 high schools in the Gwinnett County School District.",Suwanee,GA,95.42,61.626,3097,63.0,19.0,73.0,69.66632865
568,NYC Lab High School for Collaborative Studies,"NYC Lab High School for Collaborative Studies is ranked 67th within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at NYC Lab High School for Collaborative Studies is 75%. The total minority enrollment is 53%, and 48% of students are economically disadvantaged. NYC Lab High School for Collaborative Studies is 1 of 533 high schools in the New York City Public Schools.",New York,NY,100.0,63.043,463,67.0,10.0,99.0,
569,Aurora High School,"Aurora High School is ranked 20th within Ohio. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Aurora High School is 65%. The total minority enrollment is 19%, and 5% of students are economically disadvantaged. Aurora High School is the only high school in the Aurora City.",Aurora,OH,95.0,54.228,987,81.0,17.0,91.0,70.21103896
570,The Ask Academy,"The Ask Academy is ranked fourth within New Mexico. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at The Ask Academy is 73%. The total minority enrollment is 54%, and 17% of students are economically disadvantaged. The Ask Academy is the only high school in the The Ask Academy.",Rio Rancho,NM,79.1378,54.878,265,57.0,16.0,85.0,
571,Coppell High School,Coppell High School is ranked 77th within Texas. Students have the opportunity to take Advanced Placement&#174,Coppell,TX,98.5,64.166,3955,62.0,16.0,85.0,68.14185039
572,Conrad Schools of Science,Conrad Schools of Science is ranked fourth within Delaware. Students have the opportunity to take Advanced Placement&#174,Wilmington,DE,,66.766,665,43.0,18.0,79.0,36.08314691
573,Malibu High School,"Malibu High School is ranked 77th within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Malibu High School is 78%. The total minority enrollment is 27%, and 16% of students are economically disadvantaged. Malibu High School is 1 of 3 high schools in the Santa Monica-Malibu Unified School District.",Malibu,CA,98.3,66.88,396,58.0,13.0,83.0,44.58791209
574,Chatt High Center For Creative Arts,Chatt High Center For Creative Arts is ranked eighth within Tennessee. Students have the opportunity to take Advanced Placement&#174,Chattanooga,TN,,49.333,380,,16.0,62.0,
575,Chantilly High School,"Chantilly High School is ranked 11th within Virginia. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Chantilly High School is 59%. The total minority enrollment is 66%, and 20% of students are economically disadvantaged. Chantilly High School is 1 of 30 high schools in the Fairfax County Public Schools.",Chantilly,VA,95.0,53.204,2937,88.0,16.0,95.0,65.48339648
576,Mounds View Senior High School,"Mounds View Senior High School is ranked eighth within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Mounds View Senior High School is 54%. The total minority enrollment is 34%, and 18% of students are economically disadvantaged. Mounds View Senior High School is 1 of 7 high schools in the Mounds View Public School District.",Arden Hills,MN,96.54,45.928,1901,65.0,27.0,74.0,75.92974311
577,Arrowhead High School,"Arrowhead High School is ranked 11th within Wisconsin. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Arrowhead High School is 60%. The total minority enrollment is 13%, and 9% of students are economically disadvantaged. Arrowhead High School is the only high school in the Arrowhead Uhs School District.",Hartland,WI,98.3,54.554,2086,60.0,18.0,54.0,75.04875726
578,Stoney Creek High School,"Stoney Creek High School is ranked 11th within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Stoney Creek High School is 76%. The total minority enrollment is 20%, and 13% of students are economically disadvantaged. Stoney Creek High School is 1 of 9 high schools in the Rochester Community School District.",Rochester Hills,MI,99.13,63.472,1524,59.0,24.0,78.0,68.90554299
579,Silva Health Magnet,"Silva Health Magnet is ranked 78th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Silva Health Magnet is 76%. The total minority enrollment is 96%, and 71% of students are economically disadvantaged. Silva Health Magnet is 1 of 15 high schools in the El Paso Independent School District.",El Paso,TX,98.9,46.944,510,91.0,13.0,92.0,
